rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
116,"spotify:track:4WB9OeauHXnGOMUK4s80gM","Lomepal","Trop beau","Pineale Prod - Grand Musique Management",1,120,1138,"57438"
117,"spotify:track:0fQfJFfngYfG26560HLMLN","Sean Paul, Sia","Dynamite","Universal-Island Records Ltd.",63,115,41,"57122"
118,"spotify:track:0xfMlIW8lS40qvpsUw1l0X","Kungs","Never Going Home","Universal Music Division Polydor France",5,118,265,"56952"
119,"spotify:track:1p9dxTMtG4gZpLp7yzvT54","Therapie TAXI","Eté 90","Panenka Music",12,119,405,"56752"
120,"spotify:track:1SC5rEoYDGUK4NfG82494W","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,123,328,"55895"
121,"spotify:track:6R7Efh28yqv5a21h3G7Qbg","menace Santana","Vengeance !","Fake Dream Music / ADA France",51,124,62,"55698"
122,"spotify:track:1v7L65Lzy0j0vdpRjJewt1","Eminem","Lose Yourself","Eminem Catalog PS",117,117,22,"54495"
123,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",123,130,16,"54240"
124,"spotify:track:4cReVayyLtwIVtc4VxYUAt","Gregory Porter, Troy Miller","Dry Bones","Universal Music Division Decca Records France",86,121,50,"54142"
125,"spotify:track:18m3o2kmvnYJn2cCOZ4LD9","Youssoupha, Noémie","On se connaît","Bomaye musik",122,127,38,"53657"
126,"spotify:track:0iPf1xVxV7rlbG4wn3ANFa","Ninho","No Life","Rec. 118 / Mal Luné Music",6,125,77,"53311"
127,"spotify:track:6xVRI3rGcsgi8ZCfdf90Oe","Ninho","La maison que je voulais","Rec. 118 / Mal Luné Music",13,129,76,"53186"
128,"spotify:track:4GCIYE1x1TWJCChPkpy9by","PNL","Onizuka","QLF Records",10,135,834,"53145"
129,"spotify:track:4iwiYqzoLImJraKQ9Pf2I2","Goya Menor, Nektunez","Ameno Amapiano Remix (You Wanna Bamba)","Columbia/B1 Recordings",125,134,6,"52211"
130,"spotify:track:7r9KkTYiFYMuNcGR4aySxh","Bolémvn, Guy2Bezbar","Ça canarde","Universal Music Division Capitol Music France",8,131,188,"52051"
131,"spotify:track:0JpEMzTHbt2zBIXrntrXzG","Robin Schulz, Dennis Lloyd","Young Right Now","WM Germany",113,133,35,"52045"
132,"spotify:track:0VJwgZkDmZZLZygKnPj2s6","PLK","A la base","Panenka Music",4,136,124,"52026"
133,"spotify:track:6hzi3AGB39FjxFqcjgbWs7","PNL","Deux frères","QLF Records",2,137,369,"51900"
134,"spotify:track:1xYzN6PXSwoOChUJnq8eJU","Ninho","Intro","Rec. 118 / Mal Luné Music",4,126,77,"51749"
135,"spotify:track:5vaOdnTldKw74qWjezLfRO","Kungs","Lipstick","Universal Music Division Polydor France",113,132,41,"51606"
136,"spotify:track:2k4rnj8GC80C4rA6eZUIdz","Jazzy Bazz, Nekfeu","Élément 115","3.14 Production",4,128,28,"51535"
137,"spotify:track:7suo07vTc92Q9fnxD46PuL","Niska","Mapess","Universal Music Division Capitol Music France",7,138,132,"51019"
138,"spotify:track:2SSCtasL6H9ckzCJAlBcgW","Ziak","Galerie","Universal Music Division Capitol Music France",7,141,203,"50893"
139,"spotify:track:6krr1QQpT7nN8fjLjdWXIC","Dinos, Damso","Du mal à te dire","Universal Music Distribution Deal",11,140,228,"50708"
140,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",14,144,312,"50701"
141,"spotify:track:0aNKeqaXgtsWkhnxfkC01l","Jazzy Bazz, Josman","Albiceleste","3.14 Production",17,143,27,"50658"
142,"spotify:track:5HEtuK03ygUzqca6yfgOYZ","Ninho","Lettre à une femme","Rec. 118 / Mal Luné Music",1,146,704,"50506"
143,"spotify:track:3jTpDWRLWpaDSxdBDJnXaL","Vald","Qui écoute ?","Echelon Records",15,122,13,"50405"
144,"spotify:track:3bGGvbwbhq9kIMhHaXBdYL","Naps, SCH","La danse des bandits","OK Many Industrie et 13ème art Music",9,139,320,"50046"
145,"spotify:track:3J5CNgFBHzS75oYVv9zbDc","Djadja & Dinaz","Seuls","Carré-Music",46,142,244,"50002"
146,"spotify:track:2kg6gav2Y7ceVoZ0s5l3Zz","Niska","44","Universal Music Division Capitol Music France",12,145,73,"49891"
147,"spotify:track:5BfCoUcWNXcpyJfjXRIeyC","Heuss L'enfoiré, Jul","Moulaga","AllPoints",2,148,569,"49708"
148,"spotify:track:3F1P0QzdXtBz0MXy7KIO5w","Dua Lipa, Angèle","Fever","Warner Records",1,152,473,"49694"
